#п/п;Заказчик;URL;Наименование;URL;Способ_закупки;Единица_измерения;Кол-во;Цена_за_ед.;Плановая_сумма;Планируемый_срок_закупки;Статус
86437210;;https://goszakup.gov.kz/ru/registry/show_supplier/29789;Насос;https://goszakup.gov.kz/ru/registry/show_plan/86437210/4718063;Запрос ценовых предложений;Штука;1;987 000.00;987 000.00;Апрель;Заявка
86376083;КГУ "Специализированная школа-интернат "Дарын" Казыгуртского района" управления образования Туркестанской области;https://goszakup.gov.kz/ru/registry/show_supplier/14456;Средство отбеливающее;https://goszakup.gov.kz/ru/registry/show_plan/86437204/4718064;Запрос ценовых предложений;Штука;25;3 200.00;80 000.00;Апрель;Заявка
86437194;ГУ "Аппарат акима Чулокайского сельского округа" Панфиловского района;https://goszakup.gov.kz/ru/registry/show_supplier/38907;Телевизор;https://goszakup.gov.kz/ru/registry/show_plan/86437194/4711983;Электронный магазин;Штука;1;150 000.00;150 000.00;Апрель;Утвержден
86375633;КГУ "Специализированная школа-интернат "Дарын" Казыгуртского района" управления образования Туркестанской области;https://goszakup.gov.kz/ru/registry/show_supplier/14456;Средство моющее;https://goszakup.gov.kz/ru/registry/show_plan/86437193/4718064;Запрос ценовых предложений;Упаковка;40;600.00;24 000.00;Апрель;Заявка
86290481;;https://goszakup.gov.kz/ru/registry/show_supplier/58184;Семена цветов однолетние;https://goszakup.gov.kz/ru/registry/show_plan/86437190/4718061;Запрос ценовых предложений;Тонна (метрическая);5;775 862.07;3 879 310.35;Апрель;Проект договора
86437185;;https://goszakup.gov.kz/ru/registry/show_supplier/50046;Эмаль;https://goszakup.gov.kz/ru/registry/show_plan/86437185/4715312;Запрос ценовых предложений;Банка условная;12;4 439.66;53 275.92;Апрель;Утвержден
86375515;КГУ "Специализированная школа-интернат "Дарын" Казыгуртского района" управления образования Туркестанской области;https://goszakup.gov.kz/ru/registry/show_supplier/14456;Средство моющее;https://goszakup.gov.kz/ru/registry/show_plan/86437184/4718064;Запрос ценовых предложений;Упаковка;20;5 200.00;104 000.00;Апрель;Заявка
83756467;;https://goszakup.gov.kz/ru/registry/show_supplier/40163;Услуги по проведению лабораторных/лабораторно-инструментальных исследований/анализов;https://goszakup.gov.kz/ru/registry/show_plan/86437183/4718062;Из одного источника путем прямого заключения договора;Одна услуга;1;349 256.00;349 256.00;Апрель;Утвержден
86437176;;https://goszakup.gov.kz/ru/registry/show_supplier/46086;Благодарственное письмо;https://goszakup.gov.kz/ru/registry/show_plan/86437176/4715603;Электронный магазин;Штука;15;300.00;4 500.00;Апрель;Утвержден
83914098;;https://goszakup.gov.kz/ru/registry/show_supplier/425395;Услуги по организации обеспечения питания детей;https://goszakup.gov.kz/ru/registry/show_plan/86437173/4717861;Из одного источника путем прямого заключения договора по питанию обучающихся;Одна услуга;1;1 689 835.98;1 689 835.98;Январь;Проект договора
86437160;ГУ "Аппарат акима Чулокайского сельского округа" Панфиловского района;https://goszakup.gov.kz/ru/registry/show_supplier/38907;Корпус системного блока;https://goszakup.gov.kz/ru/registry/show_plan/86437160/4711983;Электронный магазин;Штука;1;350 000.00;350 000.00;Апрель;Утвержден
82922019;;https://goszakup.gov.kz/ru/registry/show_supplier/8310;Работы по нанесению огнезащитных покрытий;https://goszakup.gov.kz/ru/registry/show_plan/86437158/4717344;Запрос ценовых предложений;Работа;1;147 446.85;147 446.85;Январь;Утвержден
86437149;КГП на ПХВ "Областной центр фтизиопульмонологии" управления здравоохранения области Абай;https://goszakup.gov.kz/ru/registry/show_supplier/26330;Кабель специализированный;https://goszakup.gov.kz/ru/registry/show_plan/86437149/4718046;Запрос ценовых предложений;Комплект;1;100 000.00;100 000.00;Апрель;Опубликован
86437131;;https://goszakup.gov.kz/ru/registry/show_supplier/50046;Полотенце;https://goszakup.gov.kz/ru/registry/show_plan/86437131/4715312;Запрос ценовых предложений;Рулон;100;812.00;81 200.00;Апрель;Утвержден
83921667;;https://goszakup.gov.kz/ru/registry/show_supplier/425395;Услуги по организации обеспечения питания детей;https://goszakup.gov.kz/ru/registry/show_plan/86437130/4717861;Из одного источника путем прямого заключения договора по питанию обучающихся;Одна услуга;1;7 636 226.83;7 636 226.83;Январь;Проект договора
84761444;;https://goszakup.gov.kz/ru/registry/show_supplier/8310;Пеленка;https://goszakup.gov.kz/ru/registry/show_plan/86437129/4717344;Запрос ценовых предложений;Штука;2397;1 000.00;2 397 000.00;Январь;Утвержден
